source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
wa.minedex.sites,2026-09-03T17:56:38Z,2026-09-08T15:42:03Z,2026-09-08T15:42:03Z,0,0,720,65.4,0.022,93,active
wa.tenements.live,2026-09-07T19:14:02Z,2026-09-08T15:42:22Z,2026-09-08T15:42:22Z,0,0,720,65.4,0.476,21,active
